,url
311,/addax
312,/short-beaked-echidna
313,/gayal
314,/patagonian-mara
315,/wood-bison
316,/brown-throated-three-toed-sloth
317,/golden-lion-tamarin
318,/giraffe
319,/rothschilds-giraffe
320,/elephant-seal
321,/tamaraw
322,/fancy-mouse
323,/sable-antelope
324,/cave-hyena
325,/harbour-porpoise
326,/hamadryas-baboon
327,/common-bottlenose-dolphin
328,/thinhorn-sheep
329,/kashmir-stag
330,/white-nosed-coati
331,/rakali
332,/chacma-baboon
333,/panthera-leo-leo
334,/bat-eared-fox
335,/polynesian-rat
336,/syrian-brown-bear
337,/mediterranean-monk-seal
338,/tayra
339,/island-fox
340,/south-american-coati
341,/sunda-clouded-leopard
342,/giant-pangolin
343,/nyala
344,/grey-headed-flying-fox
345,/sea-mink
346,/steller-sea-lion
347,/southern-white-rhinoceros
348,/key-deer
349,/tiger-quoll
350,/african-civet
351,/northern-flying-squirrel
352,/oriental-small-clawed-otter
353,/waterbuck
354,/european-mink
355,/reticulated-giraffe
356,/barbary-sheep
357,/wild-goat
358,/hartebeest
359,/sooty-mangabey
360,/himalayan-tahr
361,/wood-mouse
362,/gerenuk
363,/ringed-seal
364,/beech-marten
365,/gambian-pouched-rat
366,/sumatran-elephant
367,/thomasomys-ucucha
368,/bharal
369,/borneo-elephant
370,/klipspringer
371,/giant-eland
372,/chinkara
373,/brazilian-tapir
374,/swift-fox
375,/indian-gray-mongoose
376,/tibetan-antelope
377,/tibetan-blue-bear
378,/sri-lankan-elephant
379,/eastern-chipmunk
380,/giant-forest-hog
381,/plains-bison
382,/collared-peccary
383,/topi
384,/common-genet
385,/argali
386,/mountain-zebra
387,/desert-bighorn-sheep
388,/pygmy-hog
389,/mountain-beaver
390,/american-pika
391,/etruscan-shrew
392,/cacomistle
393,/tibetan-fox
394,/amazonian-manatee
395,/swamp-rabbit
396,/european-water-vole
397,/olive-baboon
398,/andean-mountain-cat
399,/nubian-ibex
400,/florida-black-bear
401,/western-gray-squirrel
402,/sangai
403,/eastern-lowland-gorilla
404,/spinner-dolphin
405,/black-tailed-prairie-dog
406,/kodkod
407,/southern-pig-tailed-macaque
408,/kamchatka-brown-bear
409,/steppe-wolf
410,/chinese-pangolin
411,/water-opossum
412,/southern-flying-squirrel
413,/arabian-wolf
414,/oncilla
415,/indri
416,/north-pacific-right-whale
417,/roosevelt-elk
418,/taurine-cattle
419,/yellow-throated-marten
420,/olinguito
421,/north-african-elephant
422,/pygmy-three-toed-sloth
423,/weddel-seal
424,/marsican-brown-bear
425,/crab-eating-fox
426,/urial
427,/emperor-tamarin
428,/sri-lankan-leopard
429,/gobi-bear
430,/bay-cat
431,/alaska-peninsula-brown-bear
432,/common-opossum
433,/green-monkey
434,/marbled-cat
435,/boreal-woodland-caribou
436,/cotton-top-tamarin
437,/japanese-serow
438,/corsac-fox
439,/hooded-seal
440,/rissos-dolphin
441,/ground-pangolin
442,/finless-porpoise
443,/northern-short-tailed-shrew
444,/indian-palm-squirrel
445,/common-shrew
446,/indian-wild-ass
447,/lar-gibbon
448,/smooth-coated-otter
449,/common-wombat
450,/long-finned-pilot-whale
451,/roborovski-hamster
452,/mountain-hare
453,/melon-headed-whale
454,/masai-giraffe
455,/italian-wolf
456,/african-golden-cat
457,/red-necked-wallaby
458,/campbells-dwarf-hamster
459,/red-river-hog
460,/deer-mouse
461,/silver-backed-chevrotain
462,/senegal-bushbaby
463,/monito-del-monte
464,/crested-porcupine
465,/thirteen-lined-ground-squirrel
466,/siberian-musk-deer
467,/cinnamon-bear
468,/alpine-marmot
469,/tibetan-wolf
470,/eurasian-harvest-mouse
471,/pygmy-sperm-whale
472,/european-mole
473,/indian-muntjac
474,/white-tailed-jackrabbit
475,/drill
476,/iriomote-cat
477,/pseudoryzomys
478,/dwarf-sperm-whale
479,/kiang
480,/black-flying-fox
481,/common-ringtail-possum
482,/honduran-white-bat
483,/javan-leopard
484,/bearded-seal
485,/common-vole
486,/meadow-vole
487,/culpeo
488,/heavisides-dolphin
489,/black-wildebeest
490,/tucuxi
491,/douglas-squirrel
492,/bushpig
493,/hoary-marmot
494,/side-striped-jackal
495,/flat-headed-cat
496,/eastern-barred-bandicoot
497,/banded-mongoose
498,/crabeater-seal
499,/panamanian-white-faced-capuchin
500,/red-shanked-douc
501,/kouprey
502,/marine-otter
503,/reevess-muntjac
504,/lechwe
505,/hokkaido-wolf
506,/big-brown-bat
507,/common-marmoset
508,/aberts-squirrel
509,/armbrusters-wolf
510,/four-toed-hedgehog
511,/california-ground-squirrel
512,/siberian-weasel
513,/common-minke-whale
514,/tree-pangolin
515,/northern-hairy-nosed-wombat
516,/pampas-cat
517,/galapagos-sea-lion
518,/cross-river-gorilla
519,/asiatic-wildcat
520,/burchells-zebra
521,/geoffroys-cat
522,/indian-porcupine
523,/desert-cottontail
524,/celebes-crested-macaque
525,/blesbok
526,/himalayan-black-bear
527,/hectors-dolphin
528,/sunda-pangolin
529,/large-indian-civet
530,/japanese-badger
531,/chinese-mountain-cat
532,/western-grey-kangaroo
533,/indochinese-leopard
534,/saimaa-ringed-seal
535,/lowland-paca
536,/marco-polo-sheep
537,/rppells-fox
538,/eastern-elk
539,/european-hamster
540,/rocky-mountain-elk
541,/gees-golden-langur
542,/coquerels-sifaka
543,/pygmy-killer-whale
544,/iberian-wolf
545,/mountain-tapir
546,/omuras-whale
547,/roan-antelope
548,/sitatunga
549,/ecuadorian-squirrel-monkey
550,/asian-house-shrew
551,/tule-elk
552,/siberian-chipmunk
553,/egyptian-fruit-bat
554,/dorcas-gazelle
555,/japanese-dwarf-flying-squirrel
556,/visayan-warty-pig
557,/bezoar-ibex
558,/african-manatee
559,/bengal-fox
560,/crab-eating-raccoon
561,/potto
562,/bornean-bearded-pig
563,/northern-fur-seal
564,/geoffroys-spider-monkey
565,/long-eared-hedgehog
566,/cozumel-raccoon
567,/madame-berthes-mouse-lemur
568,/antarctic-fur-seal
569,/four-horned-antelope
570,/indian-aurochs
571,/masked-palm-civet
572,/formosan-black-bear
573,/lesser-kudu
574,/white-footed-mouse
575,/small-indian-civet
576,/siberian-ibex
577,/african-clawless-otter
578,/egyptian-mongoose
579,/great-plains-wolf
580,/white-lipped-peccary
581,/grants-zebra
582,/striped-polecat
583,/south-american-cougar
584,/himalayan-marmot
585,/dalls-porpoise
586,/chinese-hamster
587,/japanese-black-bear
588,/southern-tamandua
589,/common-pipistrelle
590,/malabar-large-spotted-civet
591,/oribi
592,/lowland-streaked-tenrec
593,/arctic-ground-squirrel
594,/black-capped-capuchin
595,/pacific-white-sided-dolphin
596,/northwest-african-cheetah
597,/tammar-wallaby
598,/hog-deer
599,/norway-lemming
600,/caspian-seal
601,/south-american-sea-lion
602,/sitka-deer
603,/philippine-flying-lemur
604,/olympic-marmot
605,/marsh-rabbit
606,/kirks-dik-dik
607,/short-beaked-common-dolphin
608,/greater-cane-rat
609,/pygmy-rabbit
610,/eastern-mole
611,/blue-monkey
612,/bontebok
613,/hoffmanns-two-toed-sloth
614,/java-mouse-deer
615,/syrian-elephant
616,/antelope-jackrabbit
617,/sunda-flying-lemur
618,/mongolian-wild-ass
619,/yellow-baboon
620,/patas-monkey
621,/antilopine-kangaroo
622,/steenbok
623,/puku
624,/amami-rabbit
625,/philippine-mouse-deer
626,/goodmans-mouse-lemur
627,/silky-anteater
628,/short-eared-dog
629,/canis-lupus-dingo
630,/marbled-polecat
631,/eastern-quoll
632,/hazel-dormouse
633,/central-american-agouti
634,/tufted-deer
635,/australian-sea-lion
636,/comersons-dolphin
637,/nilgiri-langur
638,/pygmy-right-whale
639,/rusa-deer
640,/glacier-bear
641,/blanfords-fox
642,/bushy-tailed-woodrat
643,/interior-alaskan-wolf
644,/bonnet-macaque
645,/goitered-gazelle
646,/svalbard-reindeer
647,/small-asian-mongoose
648,/cape-fox
649,/pacarana
650,/lesser-mouse-deer
651,/porcupine-caribou
652,/bank-vole
653,/greater-horseshoe-bat
654,/chacoan-peccary
655,/prairie-vole
656,/mexican-agouti
657,/tundra-wolf
658,/south-american-gray-fox
659,/siberian-roe-deer
660,/australian-fur-seal
661,/brown-fur-seal
662,/new-zealand-sea-lion
663,/grants-gazelle
664,/darwins-fox
665,/hoary-bat
666,/rock-cavy
667,/walia-ibex
668,/yellow-mongoose
669,/ross-seal
670,/southern-hairy-nosed-wombat
671,/short-finned-pilot-whale
672,/cuban-solenodon
673,/grizzled-giant-squirrel
674,/black-giant-squirrel
675,/persian-fallow-deer
676,/elds-deer
677,/hog-badger
678,/golden-monkey
679,/kob
680,/black-and-white-ruffed-lemur
681,/pygmy-blue-whale
682,/newfoundland-wolf
683,/striped-dolphin
684,/western-long-beaked-echidna
685,/east-african-oryx
686,/indian-boar
687,/water-chevrotain
688,/guinea-baboon
689,/grey-rhebok
690,/richardsons-ground-squirrel
691,/toque-macaque
692,/volcano-rabbit
693,/south-african-springhare
694,/long-tailed-chinchilla
695,/swamp-wallaby
696,/bushbuck
697,/british-columbia-wolf
698,/eastern-spotted-skunk
699,/indiana-bat
700,/zaglossus-hacketti
701,/zanzibar-red-colobus
702,/southeast-african-cheetah
703,/ili-pika
704,/red-legged-pademelon
705,/desert-warthog
706,/linnaeuss-two-toed-sloth
707,/moonrat
708,/spectral-bat
709,/pale-throated-three-toed-sloth
710,/cape-hare
711,/golden-mantled-ground-squirrel
712,/laotian-rock-rat
713,/spotted-seal
714,/american-red-fox
715,/bornean-rhinoceros
716,/dusky-dolphin
717,/greater-bilby
718,/somali-wild-ass
719,/hispid-hare
720,/bald-uakari
721,/screaming-hairy-armadillo
722,/dama-gazelle
723,/philippine-pangolin
724,/greater-grison
725,/damaraland-mole-rat
726,/ursus-maritimus-tyrannus
727,/nubian-giraffe
728,/leadbeaters-possum
729,/western-red-colobus
730,/kri-kri
731,/lesser-capybara
732,/slender-mongoose
733,/steppe-polecat
734,/hooded-skunk
735,/eastern-red-bat
736,/panthera-leo-fossilis
737,/mountain-pygmy-possum
738,/white-winged-vampire-bat
739,/japanese-river-otter
740,/red-ruffed-lemur
741,/southern-brown-bandicoot
742,/hairy-legged-vampire-bat
743,/gulf-coast-jaguarundi
