,Name,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Genus,Species,Population size,Life span,Top speed,Weight,Height,Length,Introduced countries,Seas,Islands,Biome,Climate,Seasonal behavior,Predators,Bird's call,Mating behavior,Reproduction season,Pregnancy duration,Baby carrying,Independent age,Female name,Male name,Baby name,Incubation period,Population trend,Population status
13,Cheetah,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Acinonyx,Acinonyx jubatus,"6,674",10-20 yrs,112 km/h,21-72 kg,70-90 cm,112-150 cm,,,,"['Grassland', 'Savanna', 'Shrubland', 'Mountains']","['Tropical', 'Arid']",Not a migrant,,,Polygyny,year-round,3 months,2-5 cubs,1.5-2 years,female,male,cub,,Decreasing,Vulnerable (VU)
14,Platypus,Animalia,Chordata,Vertebrata,Mammalia,Monotremata,,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus,Unknown,12-20 yrs,35 km/h,0.7-2.4 kg,,43-50 cm,,,,"['Lakes', 'Freshwater', 'Riparian', 'Rivers', 'Wetlands ']","['Temperate', 'Tropical']",Not a migrant,,,Polygynandry,June-October,10 days,1-2 puggles,4-5 months,,,puggle,,Decreasing,Near Threatened (NT)
15,Coyote,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,Canis,Canis latrans,Unknown,10-18 yrs,64 km/h,7-20 kg,53-61 cm,1-1.4 m,,,,"['Urban wildlife', 'Anthropogenic biome', 'Forest', 'Mountains', 'Grassland', 'Shrubland', 'Suburban', 'Agricultural']","['Tropical', 'Temperate', 'Cold']",,,,Monogamy,February-March,63 days,3-12 pups,35 days,bitch,dog,"pup, cub, whelp",,Increasing,Least concern (LC)
16,Moose,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Ruminantia,Cervidae,Alces,Alces alces,,15-25 years,32 km/h,270-720 kg,1.8-2.1 m,2.4-3.2 m,,,,"['Wetlands ', 'Bog', 'Forest', 'Lakes', 'Marsh', 'Riparian', 'Rivers', 'Shrubland', 'Swamp', 'Woodland', 'Mountains']","['Temperate', 'Cold']",Partial Migrant,,,Polygamy,September-October,8 months,1 calf,12 months,cowb,bull,calf,,Stable,Least concern (LC)
17,Bobcat,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Lynx,Lynx rufus,,12-25 yrs,55 km/h,4-18 kg,30-60 cm,47.5-125 cm,,,,"['Chaparral', 'Forest', 'Mountains', 'Grassland', 'Savanna', 'Shrubland', 'Swamp', 'Woodland']","['Temperate', 'Tropical']",Not a migrant,,,Polygynandry,February-March,60-70 days,3 kittens,8 months,queen,tomcat,kitten,,Stable,Least concern (LC)
18,Leopard,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Felidae,Panthera,Panthera pardus,Unknown,10-20 yrs,58 km/h,28-90 kg,57-70 cm,90-190 cm,,,,"['Forest', 'Rainforest', 'Savanna', 'Woodland']","['Tropical', 'Arid', 'Temperate']",Not a migrant,,,Polygynandry,"year-round, peak in May",90-105 days,2-4 cubs,18-24 months,leopardess,leopard,cub,,Decreasing,Vulnerable (VU)
19,Narwhal,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Monodontidae,Monodon,Monodon monoceros,"80,000",50 yrs,,"800-1,600 kg",,4-5.5m,,,,"['Oceanic pelagic zone', 'Marine', 'Neritic zone', 'Benthic']","['Cold', 'Polar']",Migrating,,,Polygyny,March-May,15 months,1 calf,1 year,cow,bull,calf,,,
20,Common Hippo,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Hippopotamidae,Hippopotamus,Hippopotamus amphibius,125-148 Thou,40-50 yrs,30 km/h,1-4.5 t,1.6 m,2.7-3.5 m,,,,"['Lakes', 'Rivers', 'Shrubland', 'Wetlands ', 'Estuaries', 'Freshwater', 'Swamp', 'Forest', 'Grassland', 'Savanna', 'Riparian', 'Rainforest', 'Coastal', 'Neritic zone', 'Brackish water', 'Marine']","['Tropical', 'Temperate']",Not a migrant,,,Polygyny,"year-round, peaks in February-August",240 days,1 calf,18 months,cow,bull,calf,,Decreasing,Vulnerable (VU)
21,Wolverine,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mustelidae,Gulo,Gulo gulo,Unknown,5-17 yrs,48 km/h,9-25 kg,30-45 cm,65-107 cm,,,,"['Forest', 'Mountains', 'Grassland', 'Shrubland', 'Woodland', 'Rocky areas ']","['Cold', 'Polar', 'Temperate']",Not a migrant,,,Polygyny,May-August,2 months,2-3 kits,3 months,angeline,wolverine,"kit, whelp",,Decreasing,Least concern (LC)
22,Red Panda,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Ailuridae,Ailurus,Ailurus fulgens,16-20 Thou,8-14 yrs,38 km/h,3-6.2 kg,,50-64 cm,,,,"['Forest', 'Mountains', 'Montane forest']","['Temperate', 'Tropical']",Altitudinal Migrant,,,Polygynandry,January-March,4 months,1-5 cubs,6-8 months,sow,boar,cub,,Decreasing,Endangered (EN)
23,Dingo,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,Canis,Canis dingo,Unknown,5-15 yrs,48 km/h,13-20 kg,52-60 cm,117-154 cm,,,,"['Shrubland', 'Forest', 'Anthropogenic biome', 'Suburban', 'Urban wildlife', 'Coastal']","['Tropical', 'Arid', 'Temperate']",Not a migrant,,,Monogamy,"March-April in Australia, August-September in Southeast Asia",63 days,4-5 pups,8 weeks,bitch,dog,pup,,,
24,Capybara,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Caviidae,Hydrochoerus,Hydrochoerus hydrochaeris,Unknown,6-12 yrs,35 km/h,35-66 kg,50-62 cm,106-134 cm,,,,"['Forest', 'Marsh', 'Wetlands ', 'Rainforest', 'Riparian', 'Swamp', 'Freshwater', 'Lakes', 'Rivers', 'Savanna']",['Tropical'],Not a migrant,,,Polygyny,"Year-round, peak in May-June",150 days,2-8 pups,1 year,,,pup,,Stable,Least concern (LC)
25,Tasmanian Devil,Animalia,Chordata,Vertebrata,Mammalia,Dasyuromorphia,,Dasyuridae,Sarcophilus,Sarcophilus harrisii,10-25 Thou,5-8 yrs,24 km/h,4-12 kg,,52-80 cm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Shrubland', 'Woodland', 'Grassland', 'Suburban']",['Temperate'],Not a migrant,,,Polygynandry,March,21 days,2-3 imps,8 months,,,"pup, joey, imp",,Decreasing,Endangered (EN)
26,Domestic Guinea Pig,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Caviidae,Cavia,Cavia porcellus,Unknown,8-14 yrs,,"700-1,200 g",,20-25 cm,,,,[],[],Not a migrant,,,,"year-round, with the peak in spring",59-72 days,3 pups,14-21 days,sow,boar,"pup, piglet",,,
27,Alpaca,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Camelidae,Vicugna,Vicugna pacos,3.5 mln,5-20 yrs,48 km/h,55-65 kg,81-99 cm,1200-2250 mm,,,,"['Agricultural', 'Anthropogenic biome', 'Mountains', 'Grassland']","['Arid', 'Temperate']",Not a migrant,,,Polygyny,year-round,242-345 days,1 cria,6 months,hembra,macho,cria,,,
28,Domestic Sheep,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Ovis,Ovis aries,"7,500",10-20 yrs,,45-160 kg,,120-180 cm,,,,"['Agricultural', 'Anthropogenic biome']","['Tropical', 'Arid', 'Temperate', 'Cold']",Not a migrant,,,Polygyny,"seasonal, year-round",5 months,1-2 lambs,,"ewe, dam","buck, ram","lamb, lambkin",,,
29,American Bison,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Bison,Bison bison,"11,248-13,12",15-40 yrs,35 km/h,318-1000 kg,152-186 cm,2-3.5 m,,,,"['Wetlands ', 'Grassland', 'Shrubland', 'Savanna', 'Riparian', 'Anthropogenic biome', 'Agricultural', 'Mountains']","['Temperate', 'Cold']",Migrating,,,Polygyny,June-September,285 days,1 calf,1 year,cow,bull,calf,,Stable,Near Threatened (NT)
30,Bonobo,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Hominidae,Pan,Pan paniscus,"29,5-50 Thou",35-50 yrs,40 km/h,30-60 kg,115 cm,70-83 cm,,,,"['Forest', 'Rainforest']",['Tropical'],Not a migrant,,,Polygynandry,Year-round,8 months,1 infant,4 years,female,male,infant,,Decreasing,Endangered (EN)
31,Honey Badger,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mustelidae,Mellivora,Mellivora capensis,Unknown,7-26 yrs,30 km/h,5-16 kg,23-28 cm,77 cm,,,,"['Forest', 'Shrubland', 'Savanna', 'Montane forest', 'Woodland']","['Tropical', 'Arid', 'Temperate']",Not a migrant,,,Polygyny,"year-round, peak in September-December",50-70 days,1 kit,1-2 years,sow,boar,"kit, cub",,Decreasing,Least concern (LC)
32,Donkey,African Wild Ass,,Animalia,Chordata,Vertebrata,,Mammalia,Perissodactyla,Equidae,Equus,Equus africanus asinus,41 Mln,12-50 yrs,24 km/h,,,,,[],"['Tropical', 'Arid', 'Temperate', 'Cold']",Not a migrant,,,Polygyny,Year-round,11-14 months,1 foal,5 months,"jenny, jennet","jack, jackass","foal, colt",,,
33,Llama,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Camelidae,Lama,Lama glama,,15-25 yrs,45 km/h,130-200 kg,1.7-1.8 m,,,,,"['Agricultural', 'Anthropogenic biome', 'Mountains']","['Arid', 'Temperate']",Not a migrant,,,Polygyny,late summer-early fall,350-360 days,1 cria,1 year,,,cria,,,
34,Wild Boar,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Suidae,Sus,Sus scrofa,Unknown,2-27 yrs,48 km/h,80-175 kg,55-100 cm,153-240 cm,"Bosnia and Herzegovina, Bulgaria, Cambodia, China, Croatia, Cyprus, Czech Republic, Estonia, Finland, France,  Georgia, Germany, Greece, Hong Kong, Hungary,  India, Indonesia, Iran, Iraq, Israel, Italy, Japan, Jordan, Kazakhstan,  North Korea, South Korea, Kyrgyzstan, Laos, Latvia, Lebanon, Liechtenstein, Lithuania, Luxembourg, Macedonia, Malaysia, Moldova, Monaco, Mongolia, Montenegro, Morocco, Myanmar, Nepal, Netherlands, Pakistan, Palestine, Poland, Portugal, Romania, Russia, San Marino, Serbia, Slovakia, Slovenia, Spain, Sri Lanka, Switzerland, Syria, Taiwan, Tajikistan,  Thailand, Tunisia, Turkey, Turkmenistan, Ukraine, Uzbekistan, Viet Nam, Sweden, United Kingdom, Afghanistan",,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Marsh', 'Wetlands ', 'Riparian', 'Grassland', 'Swamp', 'Savanna', 'Shrubland']","['Tropical', 'Arid', 'Temperate', 'Cold']","Not a migrant,",,,Polygyny,Year-round,108-120 days,4-6 piglets,7 months,sow,boar,"piglet, farrow",,,
