,Name,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Genus,Species,Population size,Life span,Top speed,Weight,Height,Length,Introduced countries,Seas,Islands,Biome,Climate,Seasonal behavior,Predators,Bird's call,Mating behavior,Reproduction season,Pregnancy duration,Baby carrying,Independent age,Female name,Male name,Baby name,Incubation period,Population trend,Population status
691,Brown Long-Eared Bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Vespertilionidae,Plecotus,Plecotus auritus,Unknown,4-30 yrs,,6-12 g,,4.5-4.8 cm,,,"Bulgaria, Croatia, Denmark, Estonia, Germany, Greece, Hungary, Ireland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Montenegro, Netherlands, Norway, Poland, Romania, San Marino, Serbia, Slovakia, Slovenia, Sweden, Switzerland, Belarus, Moldova,  Russia, Ukraine, Armenia, Azerbaijan, Georgia, Iran, Turkey, Czech Republic","['Forest', 'Anthropogenic biome', 'Suburban', 'Urban wildlife', 'Caves', 'Shrubland', 'Woodland', 'Agricultural']",['Temperate'],"Not a migrant, Hibernating",,,Polygynandry,autumn,,1 pup,6 weeks,female,male,pup,,Stable,Least concern (LC)
692,Hawaiian Hoary Bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Vespertilionidae,Lasiurus,Lasiurus semotus,Unknown,14 yrs,,14-18 g,,,,,,"['Anthropogenic biome', 'Forest', 'Agricultural', 'Mountains', 'Suburban', 'Urban wildlife']",['Tropical'],Altitudinal Migrant,,,Serial monogamy,October-November,,2 pups,6-7 weeks,female,male,pup,,Unknown,Not evaluated (NE)
693,Yellow-Necked Mouse,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Muridae,Apodemus,Apodemus flavicollis,Unknown,12-24 mos,,28-43 g,,89-133 mm,,,,"['Forest', 'Shrubland']","['Arid', 'Temperate', 'Cold']",Not a migrant,,,,"February-October, peak in July-August",23 days,3-10 pups,3 weeks,doe,buck,"pup, pinkie, kit",,Stable,Least concern (LC)
694,Cape Ground Squirrel,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Xerus,Xerus inauris,Unknown,11.5 yrs,,423-649 g,,424-476 mm,,,,"['Grassland', 'Anthropogenic biome', 'Savanna', 'Shrubland']",['Tropical'],Not a migrant,,,Polygynandry,year-round,42-49 days,1-3 pups,52 days,doe,buck,"pup, kit, kitten",,Stable,Least concern (LC)
695,Field Vole,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Cricetidae,Microtus,Microtus agrestis,Unknown,18 mos,9 km/h,20-51 g,,95-133 mm,,,,"['Anthropogenic biome', 'Forest', 'Grassland', 'Shrubland', 'Wetlands ']","['Temperate', 'Cold', 'Polar']",Not a migrant,,,,from March-April to October-December,3 weeks,4-6 babies,21 days,,,"baby vole, pup",,Stable,Least concern (LC)
696,Pygmy Slow Loris,Animalia,Chordata,Vertebrata,Mammalia,Primates,Strepsirrhini,Lorisidae,Nycticebus,Nycticebus pygmaeus,Unknown,20 yrs,,360-580 g,,19-23 cm,,,,"['Forest', 'Rainforest', 'Anthropogenic biome', 'Montane forest']",['Tropical'],,,,Polygyny,July-October,6 months,1-2 infants,4.5-8 months,,,infant,,Decreasing,Endangered (EN)
697,Woylie,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Potoroidae,Bettongia,Bettongia penicillata,12-18 Thou,4-14 yrs,,750-1850 g,,30-35 cm,,,,"['Forest', 'Shrubland']","['Arid', 'Temperate']",Not a migrant,,,,Year-round,21 days,1 joey,90 days,"jill, roo","jack, boomer",joey,,Decreasing,Critically endangered (CR)
698,North Sulawesi Babirusa,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Suidae,Babyrousa,Babyrousa celebensis,"9,999",23 yrs,,up to 100 kg,58-65 cm,85-110 cm,,,,"['Forest', 'Wetlands ', 'Montane forest', 'Mountains', 'Marsh']",['Tropical'],Not a migrant,,,,year-round,155-166 days,1-2 piglets,5-12 months,sow,boar,piglet,,Decreasing,Vulnerable (VU)
699,Flores Giant Rat,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Muridae,Papagomys,Papagomys armandvillei,Unknown,,,,,41-45 cm,,,,"['Forest', 'Mountains', 'Montane forest']",['Tropical'],Not a migrant,,,,,,,,doe,buck,"pup, pinkie, kit",,Decreasing,Near Threatened (NT)
700,Eurasian Water Shrew,Animalia,Chordata,Vertebrata,Mammalia,Eulipotyphla,,Soricidae,Neomys,Neomys fodiens,Unknown,1.5-3 yrs,,15-19 g,,10 cm,,,,"['Forest', 'Lakes', 'Rivers', 'Freshwater', 'Anthropogenic biome', 'Grassland', 'Intertidal zone', 'Wetlands ', 'Coastal', 'Marine', 'Brackish water', 'Agricultural', 'Bog', 'Marsh', 'Swamp']","['Temperate', 'Cold']",Not a migrant,,,Polygynandry,April-September,24 days,4-8 young,7 weeks,sow,boar,shrewlet,,Stable,Least concern (LC)
701,White-Tailed Mongoose,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Herpestidae,Ichneumia,Ichneumia albicauda,Unknown,10-14 yrs,,1.8-5 kg,,53-71 cm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Grassland', 'Shrubland', 'Suburban', 'Urban wildlife', 'Savanna', 'Wetlands ', 'Woodland']","['Temperate', 'Tropical']",Not a migrant,,,,,60 days,1-3 pups,9 months,,,"pup, mongopoe",,Stable,Least concern (LC)
702,Gray Mouse Lemur,Animalia,Chordata,Vertebrata,Mammalia,Primates,Strepsirrhini,Cheirogaleidae,Microcebus,Microcebus murinus,Unknown,3-15.5 yrs,32 km/h,40-70 g,,12-14 cm,,,,"['Forest', 'Shrubland', 'Anthropogenic biome', 'Agricultural']",['Tropical'],Not a migrant,,,"Polygynandry,",September-March,60 days,2 infants,2 months,,,infant,,Decreasing,Least concern (LC)
703,Pampas Deer,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Ruminantia,Cervidae,Ozotoceros,Ozotoceros bezoarticus,20-40 Thou,12-20 yrs,,22-34 kg,60-70 cm,,,,,"['Grassland', 'Anthropogenic biome', 'Savanna', 'Wetlands ']",['Tropical'],Not a migrant,,,,varies with location,7 months,1 fawn,1 year,"doe, hind","buck, stag",fawn,,Decreasing,Near Threatened (NT)
704,Great Flying Fox,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Pteropodidae,Pteropus,Pteropus neohibernicus,Unknown,9-23 years,,up to 1.6 kg,,234-330 mm,,,,"['Anthropogenic biome', 'Forest', 'Savanna', 'Montane forest', 'Tropical rainforest', 'Riparian', 'Agricultural', 'Swamp']",['Tropical'],Not a migrant,,,,,,1 pup,,female,male,pup,,Stable,Least concern (LC)
705,Long-Nosed Potoroo,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Potoroidae,Potorous,Potorous tridactylus,"75,000",5-12 yrs,,0.7-1.8 kg,,34-38 cm,,,,"['Forest', 'Shrubland']","['Tropical', 'Temperate']",Not a migrant,,,Polygynandry,"Year-round, peaks occure in early spring and early summer",38 days,1 joey,5-6 months,,,joey,,Decreasing,Near Threatened (NT)
706,Silver-Haired Bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Vespertilionidae,Lasionycteris,Lasionycteris noctivagans,Unknown,up to 12 yrs,,8-12 g,,10 cm,,,,"['Caves', 'Forest', 'Riparian', 'Anthropogenic biome', 'Suburban', 'Urban wildlife', 'Rocky areas ']","['Temperate', 'Tropical']","Hibernating, Migrating",,,Polygynandry,,50-60 days,1-2 pups,34-39 days,female,male,pup,,Stable,Least concern (LC)
707,Hoary Fox,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,Lycalopex,Lycalopex vetulus,Unknown,,,3-4 kg,,58-72 cm,,,,"['Forest', 'Mountains', 'Grassland', 'Shrubland', 'Anthropogenic biome', 'Savanna']",['Tropical'],Not a migrant,,,Monogamy,,50 days,2-4 kits,,vixen,"reynard, tod","kit, cub, pup",,Decreasing,Least concern (LC)
708,Common Dwarf Mongoose,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Herpestidae,Helogale,Helogale parvula,Unknown,10-18 yrs,,210-350 g,,18-28 cm,,,,"['Grassland', 'Shrubland', 'Savanna', 'Woodland']",['Tropical'],Not a migrant,,,,October-April,53 days,4-6 pups,10 weeks,,,"pup, mongopoe",,Stable,Least concern (LC)
709,Ussuri Dhole,Dhole,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,Cuon,Cuon alpinus alpinus,Unknown,16 yrs,72.4 km/h,10-21 kg,,,,"['Forest', 'Grassland', 'Savanna', 'Steppe', 'Montane forest', 'Mountains']","['Temperate', 'Tropical']",Not a migrant,,,,varies with location,60-63 days,4-6 pups,,,,pup,,Decreasing,Endangered (EN)
710,Riverine rabbit,Animalia,Chordata,Vertebrata,Mammalia,Lagomorpha,,Leporidae,Bunolagus,Bunolagus monticularis,,,,1.5-1.8 kg,,337-470 mm,,,,"['Forest', 'Riparian', 'Shrubland']",['Tropical'],,,,"Polygyny,",,,1,,,,,,Decreasing,Critically endangered (CR)
711,Townsend's big-eared bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Vespertilionidae,Corynorhinus,Corynorhinus townsendii,,,,5-13 g,,90-115 mm,,,,"['Caves', 'Forest', 'Mountains', 'Shrubland', 'Anthropogenic biome']",['Temperate'],"Hibernating, Not a migrant",,,"Polygynandry,",,56 to 100 days,1,,,,,,Stable,Least concern (LC)
712,Desert Hedgehog,Animalia,Chordata,Vertebrata,Mammalia,Eulipotyphla,,Erinaceidae,Paraechinus,Paraechinus aethiopicus,Unknown,3-10 yrs,19 km/h,280-510 g,,140-280 mm,,,,"['Grassland', 'Savanna', 'Shrubland', 'Wetlands ']",['Arid'],Hibernating,,,,March,30-40 days,6 hoglets,40 days,sow,boar,"hoglet, piglet",,Stable,Least concern (LC)
713,Gunnison's Prairie Dog,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Cynomys,Cynomys gunnisoni,Unknown,3-8 yrs,,0.5-1 kg,,30-37 cm,,,,"['Forest', 'Grassland', 'Shrubland']",['Temperate'],"Hibernating, Not a migrant",,,Polygynandry,mid-March to mid-May,30 days,4-5 pups,,sow,boar,pup,,Decreasing,Least concern (LC)
714,Northern Quoll,Animalia,Chordata,Vertebrata,Mammalia,Dasyuromorphia,,Dasyuridae,Dasyurus,Dasyurus hallucatus,Unknown,1-3 yrs,24 km/h,350-1120 g,,249-370 mm,,,,"['Forest', 'Grassland', 'Shrubland']","['Tropical', 'Arid', 'Temperate']",Not a migrant,,,Polygynandry,late May-August,21-25 days,6-7 pups,4 months,,,pup,,Decreasing,Endangered (EN)
715,François' Langur,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Cercopithecidae,Trachypithecus,Trachypithecus francoisi,Unknown,26 yrs,,5.5-7 kg,,47-64 cm,,,,"['Forest', 'Rainforest', 'Rocky areas ']",['Tropical'],Not a migrant,,,Polygyny,year-round; peak in autumn and winter,6-7 months,1 infant,2 years,female,male,infant,,Decreasing,Endangered (EN)
716,Hirola,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Beatragus,Beatragus hunteri,250,10-15 yrs,,73-118 kg,99-125 cm,120-200 cm,,,,"['Forest', 'Grassland', 'Shrubland', 'Savanna']",['Tropical'],Not a migrant,,,Polygyny,March-April,7.5 months,1 calf,,doe,buck,calf,,Decreasing,Critically endangered (CR)
717,West Caucasian tur,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Capra,Capra caucasica,,,,65-100 kg,,,,,,"['Mountains', 'Forest', 'Grassland', 'Rocky areas ', 'Shrubland']",[],Altitudinal Migrant,,,,,5 to 5.33 months,1 to 2,,,,,,Decreasing,Endangered (EN)
718,Pampas fox,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,Lycalopex,Lycalopex gymnocercus,,,,4.2-6.5 kg,,62 cm,,,,"['Forest', 'Anthropogenic biome', 'Grassland', 'Savanna', 'Shrubland']","['Temperate', 'Tropical']",Not a migrant,,,Monogamy,,55 to 60 days,1 to 5,,,,,,Stable,Least concern (LC)
719,Gray bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Vespertilionidae,Myotis,Myotis grisescens,,,,7-16 g,,75-101 mm,,,,"['Riparian', 'Caves', 'Forest']",['Temperate'],"Hibernating, Migrating",,,"Polygyny,",,,1 to 1,,,,,,Increasing,Vulnerable (VU)
720,Desert Kangaroo Rat,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Heteromyidae,Dipodomys,Dipodomys deserti,Unknown,5.5-8 yrs,10 km/h,83-148 g,,331-342 mm,,,,"['Agricultural', 'Anthropogenic biome']",['Arid'],Not a migrant,,,Polygynandry,early January-early July,29-32 days,1-6 kittens,21 days,,,"pinkie, kitten",,Stable,Least concern (LC)
721,Lesser Hedgehog Tenrec,Animalia,Chordata,Vertebrata,Mammalia,Afrosoricida,,Tenrecidae,Echinops,Echinops telfairi,Unknown,10-14 yrs,,200 g,,13-17 cm,,,,"['Forest', 'Grassland', 'Savanna', 'Shrubland']","['Tropical', 'Arid']",Hibernating,,,,September-October,49 days,1-10 hoglets,1 month,sow,boar,"hoglet, piglet",,Stable,Least concern (LC)
722,Palawan stink badger,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mephitidae,Mydaus,Mydaus marchei,,,,2.5 kg,,320-460 mm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Shrubland']",['Tropical'],,,,,,,,,,,,,Stable,Least concern (LC)
723,Greater Glider,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Pseudocheiridae,Petauroides,Petauroides volans,50-500 thou,15 yrs,,"600-1,600 g",,39-43 cm,,,,"['Forest', 'Mountains', 'Montane forest', 'Woodland']","['Temperate', 'Tropical']",Not a migrant,,,Polygyny,February-May,,1 joey,9 months,,,joey,,Decreasing,Vulnerable (VU)
724,Long-Eared Jerboa,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Dipodidae,Euchoreutes,Euchoreutes naso,Unknown,2-3 yrs,,24-38 g,,70-90 mm,,,,['Shrubland'],"['Arid', 'Temperate']","Hibernating, Not a migrant",,,Polygyny,after winter hibernation,25-35 days,2-6 pups,,,,"pup, pinkie, kit",,,
725,Long-tailed pangolin,Animalia,Chordata,Vertebrata,Mammalia,Pholidota,,Manidae,Phataginus,Phataginus tetradactyla,,,,2-2.5 kg,,95-115 cm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Rainforest', 'Swamp', 'Wetlands ', 'Savanna']",['Tropical'],Not a migrant,,,,,140 days,1,,,,,,Decreasing,Vulnerable (VU)
726,North African hedgehog,Animalia,Chordata,Vertebrata,Mammalia,Eulipotyphla,,Erinaceidae,Atelerix,Atelerix algirus,,,,,,200-250 mm,,,,"['Forest', 'Grassland', 'Shrubland', 'Anthropogenic biome']",['Temperate'],,,,,,30 to 40 days,3 to 10,,,,,,Unknown,Least concern (LC)
727,Sir David's long-beaked echidna,Animalia,Chordata,Vertebrata,Mammalia,Monotremata,,Tachyglossidae,Zaglossus,Zaglossus attenboroughi,,,,10 kg,,30 cm,,,,"['Forest', 'Mountains', 'Rainforest']",['Tropical'],,,,,,,,,,,,,Decreasing,Critically endangered (CR)
728,Least Chipmunk,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Tamias,Tamias minimus,Unknown,2-6 yrs,7.7 km/h,25-66 g,,15.7-25 cm,,,,"['Anthropogenic biome', 'Forest', 'Shrubland', 'Woodland', 'Rocky areas ', 'Riparian']","['Cold', 'Temperate']",Not a migrant,,,,April-May,30 days,2-6 pups,60 days,,,"pup, kit, kitten",,Stable,Least concern (LC)
729,Tapeti,Animalia,Chordata,Vertebrata,Mammalia,Lagomorpha,,Leporidae,Sylvilagus,Sylvilagus brasiliensis,,,,0.7-1 kg,,,,,,"['Forest', 'Grassland']","['Temperate', 'Tropical']",Not a migrant,,,,,26 to 30 days,1 to 6,,,,,,Decreasing,Endangered (EN)
730,Hourglass Dolphin,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Delphinidae,Lagenorhynchus,Lagenorhynchus cruciger,Unknown,27-46 yrs,22 km/h,90-120 kg,,1.8 m,,,,"['Oceanic pelagic zone', 'Neritic zone', 'Marine']","['Polar', 'Temperate']",Migrating,,,,births occur in August-October,12-13 months,1 calf,12-18 months,cow,bull,calf,,,
731,Malayan Civet,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,,Viverridae,Viverra,Viverra tangalunga,Unknown,11-12 yrs,,3.5-4.5 kg,,62-66 cm,,,,"['Forest', 'Rainforest', 'Anthropogenic biome', 'Shrubland']",['Tropical'],Not a migrant,,,,,,1 pup,,,,pup,,Stable,Least concern (LC)
732,Verreaux's Sifaka,Animalia,Chordata,Vertebrata,Mammalia,Primates,Strepsirrhini,Indriidae,Propithecus,Propithecus verreauxi,Unknown,18-23 yrs,,3.4-3.6 kg,,42-45 cm,,,,"['Forest', 'Rainforest', 'Shrubland']","['Tropical', 'Arid', 'Temperate']",Not a migrant,,,Polygyny,January-March,130-141 days,1 infant,6 months,,,infant,,Decreasing,Endangered (EN)
733,Vancouver Island Wolf,Grey Wolf,,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Canidae,Canis,Canis lupus crassodon,,Unknown,,6-10 yrs,,,,[],['Temperate'],Not a migrant,,,,January-April,60-63 days,5-6 pups,,bitch,dog,"pup, whelp",,,
734,Thorold's deer,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,Ruminantia,Cervidae,Cervus,Cervus albirostris,,,,130-140 kg,,190-200 cm,,,,"['Forest', 'Mountains', 'Grassland', 'Shrubland']",['Temperate'],,,,"Polygyny,",,7.67 to 8.33 months,1 to 2,,,,,,Unknown,Vulnerable (VU)
735,Botta's Pocket Gopher,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Geomyidae,Thomomys,Thomomys bottae,Unknown,2.5 yrs,,120-250 g,,18-27 cm,,,,"['Forest', 'Grassland', 'Anthropogenic biome']",['Temperate'],Not a migrant,,,,depends on location: year-round or during the spring,18 days,3-4 pups,60 days,,,pup,,Stable,Least concern (LC)
736,Spinifex Hopping Mouse,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Muridae,Notomys,Notomys alexis,Unknown,2 yrs,,35 g,,95-115 mm,,,,"['Forest', 'Shrubland']","['Arid', 'Temperate']",Not a migrant,,,Polygynandry,"year-round, peak in spring",38-41 days,3-4 pups,28 days,doe,buck,"pup, pinkie, kit",,Stable,Least concern (LC)
737,Mongolian gazelle,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Bovidae,Procapra,Procapra gutturosa,,,,25-30 kg,,1.3-1 m,,,,['Grassland'],['Temperate'],,,,"Polygyny,",,7 months,1 to 2,,,,,,Stable,Least concern (LC)
738,Bornean ferret-badger,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Mustelidae,Melogale,Melogale everetti,,,,1-3 kg,,330-430 mm,,,Borneo,"['Forest', 'Mountains', 'Rainforest', 'Shrubland']",['Tropical'],,,,,,57 to 80 days,1 to 5,,,,,,Decreasing,Endangered (EN)
739,Utah Prairie Dog,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Cynomys,Cynomys parvidens,"below 10,000",8 yrs,,"355-1,635 g",,30-36 cm,,,,['Grassland'],"['Arid', 'Temperate']",Hibernating,,,Polygyny,late March-early April,28-31 days,1-7 pups,5-6 weeks,sow,boar,pup,,Decreasing,Endangered (EN)
740,Agile Wallaby,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Macropodidae,Notamacropus,Macropus agilis,Unknown,11-14 yrs,,9-27 kg,,72-85 cm,,,,"['Forest', 'Rainforest', 'Shrubland', 'Grassland', 'Savanna']",['Tropical'],Not a migrant,,,,"Year-round, with peak in May-August",30 days,1 joey,11 months,"jill, roo","jack, boomer",joey,,Decreasing,Least concern (LC)
741,Banded palm civet,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,,Viverridae,Hemigalus,Hemigalus derbyanus,,,,1.0 -3 kg,,46-53 cm,,,Borneo,"['Forest', 'Rainforest', 'Anthropogenic biome']",['Tropical'],Not a migrant,,,,,,,,,,,,Decreasing,Near Threatened (NT)
742,Goodfellow's Tree-Kangaroo,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Macropodidae,Dendrolagus,Dendrolagus goodfellowi,Unknown,8-14 yrs,,7.4-7.5 kg,,58-78 cm,,,,"['Forest', 'Rainforest']","['Tropical', 'Temperate']",Not a migrant,,,Polygyny,Year-round,21-38 days,1 joey,11-13 months,"jill, roo","jack, boomer",joey,,Decreasing,Endangered (EN)
743,Fat-tailed gerbil,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Muridae,Pachyuromys,Pachyuromys duprasi,,,,36.5 g,,108 mm,,,,['Shrubland'],['Temperate'],Not a migrant,,,,,19 to 22 days,3 to 9,,,,,,Stable,Least concern (LC)
744,Black wallaroo,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Macropodidae,Macropus,Osphranter bernardus,,,,13 -22 kg,,,,,,"['Forest', 'Grassland', 'Shrubland']","['Temperate', 'Tropical']",,,,,,,,,,,,,Unknown,Near Threatened (NT)
745,Musky Rat-Kangaroo,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,Macropodiformes,Hypsiprymnodontidae,Hypsiprymnodon,Hypsiprymnodon moschatus,Unknown,4 yrs,,332-680 g,,21-34 cm,,,,"['Forest', 'Rainforest']",['Tropical'],Not a migrant,,,,February-July,19 days,2 joyes,21 weeks,,,joey,,Stable,Least concern (LC)
746,Honey Possum,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Tarsipedidae,Tarsipes,Tarsipes rostratus,Unknown,1-2 yrs,,7-16 g,,6.5-9 cm,,,,"['Forest', 'Shrubland']","['Arid', 'Temperate']","Hibernating, Not a migrant",,,Polyandry,"May-June, September-October",28 days,2-4 joyes,11 weeks,,,joey,,Stable,Least concern (LC)
747,Liberian mongoose,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Feliformia,Herpestidae,Liberiictis,Liberiictis kuhni,,,,2 kg,,42.3-47.8 cm,,,,"['Forest', 'Riparian']",['Tropical'],,,,,,,,,,,,,Decreasing,Vulnerable (VU)
748,Hainan black crested gibbon,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Hylobatidae,Nomascus,Nomascus hainanus,,,,5.8-10 kg,,,,,,"['Forest', 'Mountains', 'Rainforest']",['Tropical'],,,,"Polygyny,",,136 to 173 days,1,,,,,,Stable,Critically endangered (CR)
749,Japanese Squirrel,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Sciurus,Sciurus lis,Unknown,12-14 yrs,,250-310 g,,160-220 mm,,,,"['Forest', 'Anthropogenic biome', 'Suburban', 'Urban wildlife']",['Temperate'],Not a migrant,,,,February-March; May-June,39-40 days,2-6 kittens,62 days,doe,buck,"pup, kit, kitten",,Stable,Least concern (LC)
750,Indo-Pacific humpback dolphin,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Delphinidae,Sousa,Sousa chinensis,,,,250 -280 kg,,1.8-3 m,,,,"['Brackish water', 'Estuaries', 'Reef', 'Marine', 'Freshwater', 'Neritic zone', 'Coastal']",['Tropical'],Not a migrant,,,,,10 to 12 months,1,,,,,,Decreasing,Vulnerable (VU)
751,Pyrenean Desman,Animalia,Chordata,Vertebrata,Mammalia,Eulipotyphla,,Talpidae,Galemys,Galemys pyrenaicus,Unknown,3.5 yrs,,35-80 g,,11-14 cm,,,,"['Lakes', 'Rivers', 'Forest', 'Mountains', 'Freshwater', 'Wetlands ']",['Temperate'],Not a migrant,,,Monogamy,January-May,30 days,3-4 pups,,sow,boar,pup,,Decreasing,Vulnerable (VU)
752,Short-Tailed Chinchilla,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Chinchillidae,Chinchilla,Chinchilla chinchilla,Unknown,8-20 yrs,24 km/h,510-794 g,,23-38 cm,,,,"['Mountains', 'Grassland', 'Rocky areas ']","['Arid', 'Temperate', 'Polar']",Not a migrant,,,Monogamy,Year-round,128 days,1-2 kits,6 weeks,"velvet, sow","boar, bull",kit,,Decreasing,Endangered (EN)
753,New Zealand lesser short-tailed bat,Animalia,Chordata,Vertebrata,Mammalia,Chiroptera,,Mystacinidae,Mystacina,Mystacina tuberculata,,,,23.5 g,,,,,,"['Forest', 'Anthropogenic biome', 'Caves', 'Shrubland']",[],,,,,,,,,,,,,Decreasing,Vulnerable (VU)
754,Pantropical Spotted Dolphin,Animalia,Chordata,Vertebrata,Mammalia,Artiodactyla,,Delphinidae,Stenella,Stenella attenuata,2.5 Mln,45 yrs,28 km/h,120 kg,,1.6-2.6 m,,,,"['Oceanic pelagic zone', 'Coastal', 'Neritic zone', 'Marine']","['Tropical', 'Temperate']",Migrating,,,,Year-round,11 months,1 calf,1-2 years,cow,bull,calf,,,
755,Galápagos Fur Seal,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Otariidae,Arctocephalus,Arctocephalus galapagoensis,10-15 Thou,22 yrs,,28-64 kg,,1.2-1.5 m,,,Galápagos,"['Intertidal zone', 'Oceanic pelagic zone', 'Coastal', 'Marine', 'Neritic zone', 'Rocky areas ']",['Tropical'],Not a migrant,,,Polygyny,August-November,12 months,1 pup,2-3 years,cow,bull,pup,,Decreasing,Endangered (EN)
756,De Brazza's Monkey,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Cercopithecidae,Cercopithecus,Cercopithecus neglectus,"above 100,00",22-30 yrs,,4-7 kg,,40-63.5 cm,,,,"['Forest', 'Rainforest', 'Wetlands ']","['Tropical', 'Temperate']",Not a migrant,,,"Polygyny,",February-March,5-6 months,1 infant,1 year,female,male,infant,,,
757,Gray short-tailed opossum,Animalia,Chordata,Vertebrata,Mammalia,Didelphimorphia,,Didelphidae,Monodelphis,Monodelphis domestica,,,,90-155 g,,10-15 cm,,,,"['Agricultural', 'Anthropogenic biome', 'Forest', 'Rainforest', 'Grassland', 'Shrubland', 'Suburban', 'Urban wildlife']",['Tropical'],Not a migrant,,,"Polygynandry,",,14 to 15 days,1 to 15,6 to 8 weeks,,,,,Stable,Least concern (LC)
758,Bengal slow loris,Animalia,Chordata,Vertebrata,Mammalia,Primates,Strepsirrhini,Lorisidae,Nycticebus,Nycticebus bengalensis,,,,1-2 kg,,26-38 cm,,,,"['Forest', 'Rainforest', 'Shrubland']",['Tropical'],Not a migrant,,,"Polygynandry,",,176 to 198 days,1 to 2,6 to 18 months,,,,,Decreasing,Endangered (EN)
759,Black Howler Monkey,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Atelidae,Alouatta,Alouatta caraya,Unknown,15-20 yrs,30 km/h,4-10 kg,,40-53 cm,,,,"['Forest', 'Rainforest', 'Grassland', 'Savanna']","['Tropical', 'Temperate']",Not a migrant,,,Polygynandry,Year-round,180-194 days,1 infant,12 months,female,male,infant,,Decreasing,Least concern (LC)
760,South American Fur Seal,Animalia,Chordata,Vertebrata,Mammalia,Carnivora,Caniformia,Otariidae,Arctocephalus,Arctocephalus australis,"238,000",12-30 yrs,,30-200 kg,,1.4-2 m,,,,"['Intertidal zone', 'Oceanic pelagic zone', 'Coastal', 'Marine', 'Neritic zone']","['Temperate', 'Tropical']",Not a migrant,,,Polygyny,October-December,8-12 months,1 pup,6-12 months,cow,bull,pup,,Increasing,Least concern (LC)
