Name,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Genus,Species,Population size,Life span,Top speed,Weight,Height,Length,Attributes,Distribution,Habits,Diet,Mating_Habits,Population
Ornate shrew,Animalia,Chordata,Vertebrata,Mammalia,Eulipotyphla,,Soricidae,Sorex,Sorex ornatus,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': 'North America', 'Countries': 'Mexico, United States', 'Biogeographical realms': 'Nearctic'}, 'Biome': ['Forest', 'Grassland', 'Shrubland', 'Wetlands '], 'Climate': []}",{},,{},"{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Pygmy Tarsier,Animalia,Chordata,Vertebrata,Mammalia,Primates,,Tarsiidae,Tarsius,Tarsius pumilus,Unknown,12-20 yrs,40 km/h,57 g,,95-105 mm,"Nocturnal,Crepuscular,Insectivores,Carnivore,Arboreal,Precocial,Island endemic,Scansorial,Territorial,Viviparous,Jumping,Monogamy,Social,starts with,Tiny Animals","{'Geography': {'Continents': 'Asia', 'Subcontinents': 'Southeast Asia', 'Countries': 'Indonesia', 'Regions': 'Sulawesi', 'Biogeographical realms': 'Indomalayan', 'Wwf biomes': 'Tropical moist forests'}, 'Biome': ['Forest', 'Mountains', 'Rainforest', 'Montane forest'], 'Climate': ['Tropical']}","{'Group name': 'herd', 'Lifestyle': 'Arboreal, Precocial, Island endemic, Scansorial, Territorial, Viviparous, Jumping'}","Insectivores,,Carnivore","{'Mating behavior': 'Monogamy', 'Reproduction season': 'beginning ans end of the rainy season', 'Pregnancy duration': '178 days', 'Baby carrying': '1 infant', 'Independent age': '42 days', 'Female name': 'doe', 'Male name': 'buck', 'Baby name': 'infant'}","{'Population trend': 'Decreasing', 'Population status': 'Endangered (EN)'}"
Bare-tailed woolly opossum,Animalia,Chordata,Vertebrata,Mammalia,Didelphimorphia,,Didelphidae,Caluromys,Caluromys philander,,,,140-390 g,,410-684 mm,"Nocturnal,Omnivore,Arboreal,Zoochory,Pollinator,Terrestrial,Dominance hierarchy,Solitary,Not a migrant,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Agricultural', 'Anthropogenic biome', 'Forest', 'Rainforest'], 'Climate': ['Tropical']}","{'Lifestyle': 'Arboreal, Zoochory, Pollinator, Terrestrial,', 'Seasonal behavior': 'Not a migrant'}",Omnivore,"{'Pregnancy duration': '24 days', 'Baby carrying': '1 to 7', 'Independent age': '150 to 165 days'}","{'Population trend': 'Decreasing', 'Population status': 'Least concern (LC)'}"
Western Pygmy Possum,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Burramyidae,Cercartetus,Cercartetus concinnus,,1-3 yrs,,8-21 g,,5.7-7.2 cm,"Nocturnal,Insectivores,Nectarivore,Carnivore,Herbivore,Terrestrial,Arboreal,Pollinator,Polygyny,Solitary,Not a migrant,starts with","{'Geography': {'Continents': 'Oceania', 'Countries': 'Australia', 'Biogeographical realms': 'Australasian', 'Wwf biomes': 'Desert and Xeric Shrublands, Mediterranean forests, woodlands, and scrub'}, 'Biome': ['Forest', 'Shrubland'], 'Climate': ['Arid', 'Temperate']}","{'Lifestyle': 'Terrestrial, Arboreal, Pollinator,', 'Seasonal behavior': 'Not a migrant'}","Insectivores,,Nectarivore,,Carnivore,,Herbivore,","{'Mating behavior': 'Polygyny', 'Reproduction season': 'Year-round (more commonly in the spring)', 'Pregnancy duration': '25 days', 'Baby carrying': '4-6 joyes', 'Independent age': '50 days', 'Baby name': 'Joey'}","{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Bennett's Tree-Kangaroo,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Macropodidae,Dendrolagus,Dendrolagus bennettianus,Unknown,15-20 yrs,,8-14 kg,,69-76 cm,"Nocturnal,Folivore,Arboreal,Terrestrial,Jumping,Altricial,Polygyny,Generally solitary,Not a migrant,starts with","{'Geography': {'Continents': 'Oceania', 'Countries': 'Australia', 'Biogeographical realms': 'Australasian', 'Wwf biomes': 'Tropical moist forests, Tropical savanna'}, 'Biome': ['Forest', 'Rainforest'], 'Climate': ['Tropical']}","{'Group name': 'court, herd, troop, mob', 'Lifestyle': 'Arboreal, Terrestrial, Jumping, Altricial,', 'Seasonal behavior': 'Not a migrant'}","Folivore,","{'Mating behavior': 'Polygyny', 'Reproduction season': 'any time of the year', 'Baby carrying': '1 joey', 'Independent age': '2 years', 'Female name': 'jill, roo', 'Male name': 'jack, boomer', 'Baby name': 'joey'}","{'Population trend': 'Stable', 'Population status': 'Near Threatened (NT)'}"
Mexican hairy dwarf porcupine,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Erethizontidae,Coendou,Coendou mexicanus,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': ''}, 'Biome': ['Forest'], 'Climate': []}",{},,{},"{'Population trend': 'Unknown', 'Population status': 'Least concern (LC)'}"
Kashmir gray langur,Animalia,Chordata,Vertebrata,Mammalia,Primates,Haplorhini,Cercopithecidae,Semnopithecus,Semnopithecus ajax,,,,,,,"Terrestrial,Partial Migrant,starts with","{'Geography': {'Continents': 'Asia', 'Countries': 'India', 'Regions': 'Jammu-Kashmir, Himachal Pradesh', 'Biogeographical realms': 'Indomalayan'}, 'Biome': ['Forest'], 'Climate': []}",{},,{},"{'Population trend': 'Decreasing', 'Population status': 'Endangered (EN)'}"
Yellow-Pine Chipmunk,Animalia,Chordata,Vertebrata,Mammalia,Rodentia,,Sciuridae,Neotamias,Neotamias amoenus,Unknown,3-5 yrs,,49-53.5 g,,181-245 mm,"Diurnal,Crepuscular,Omnivore,Terrestrial,Altricial,Burrowing,Polygynandry,Solitary,Not a migrant,Hibernating,starts with","{'Geography': {'Continents': 'North America', 'Countries': 'Canada, United States', 'Regions': 'British Columbia, Alberta, Idaho, Utah, Wyoming, Nevada, Oregon, California, Washington, Montana', 'Biogeographical realms': 'Nearctic', 'Wwf biomes': 'Montane grasslands and shrublands, Temperate coniferous forest'}, 'Biome': ['Grassland', 'Rocky areas ', 'Shrubland'], 'Climate': ['Temperate']}","{'Group name': 'scurry', 'Lifestyle': 'Terrestrial, Altricial, Burrowing,', 'Seasonal behavior': 'Not a migrant, Hibernating'}",Omnivore,"{'Mating behavior': 'Polygynandry', 'Reproduction season': 'late April-early May', 'Pregnancy duration': '30 days', 'Baby carrying': '3-8 pups', 'Independent age': '8-12 weeks', 'Baby name': 'pup, kit, kitten'}","{'Population trend': 'Stable', 'Population status': 'Least concern (LC)'}"
Sulawesi bear cuscus,Animalia,Chordata,Vertebrata,Mammalia,Diprotodontia,,Phalangeridae,Ailurops,Ailurops ursinus,,,,7 kg,,1.2 m,"Folivore,Herbivore,Island endemic,Terrestrial,starts with","{'Geography': {'Continents': 'Asia', 'Countries': 'Indonesia', 'Regions': 'Sulawesi', 'Biogeographical realms': 'Australasian, Indomalayan'}, 'Biome': ['Forest', 'Rainforest', 'Anthropogenic biome'], 'Climate': ['Tropical']}","{'Lifestyle': 'Island endemic, Terrestrial,'}","Folivore,,Herbivore",{'Baby carrying': '1 to 2'},"{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
Fringe-eared oryx,East African Oryx,,Animalia,Chordata,Vertebrata,,Mammalia,Bovidae,Hippotraginae,,,,,,,"Terrestrial,starts with","{'Geography': {'Continents': 'Africa', 'Countries': 'Kenya, Tanzania', 'Biogeographical realms': 'Afrotropical'}, 'Biome': ['Grassland', 'Savanna', 'Shrubland'], 'Climate': []}","{'Lifestyle': 'Terrestrial,'}",,{},"{'Population trend': 'Decreasing', 'Population status': 'Vulnerable (VU)'}"
